Row,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18
"L FL MOTOR Area 4p (PreCG) [M1]",0,0,0,0,0,0,0,0,0,0,0,15.0916784203103,0,0,0,0,0,0
"R FL MOTOR Area 4p (PreCG) [M1]",0,0,0,0,0,0,0,0,0,5.14603616133519,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6d1 (Pre CG) [PMd proper]",0,0.0724754388790465,0,0,0,38.0824625811918,0,0,0,0,0,8.67418899858956,0,0,0,0,0,0
"R FL PREMOT Area 6d1 (Pre CG) [PMd proper]",0,1.20792398131744,0,0,0,0,0,0,0,59.7125637459434,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6d2 (Pre CG)",0,0,0,0,0,4.17961027958204,0,0,0,0,0,0,0,0,0,0,0,0
"R FL PREMOT Area 6d2 (Pre CG)",0,0,0,0,0,0,0,0,0,11.5901715345387,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6d3 (SFS) [Central PMd, hub]",0,0,0,0,0,0.0282406099971759,0,0,0,0,0,0,0,0,0,0,0,0
"R FL PREMOT Area 6d3 (SFS) [Central PMd, hub]",0,0,0,0,0,0,0,0,0,2.68891979601298,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6ma (preSMA, mesial SFG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL PREMOT Area 6ma (preSMA, mesial SFG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL PREMOT Area 6mp (SMA, mesial SFG)",0,2.10984055403447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL PREMOT Area 6mp (SMA, mesial SFG)",0,3.80093412787889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFJ1 (PreCS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL IFS Area IFJ1 (PreCS)",0,0,0.402650784330174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFJ2 (PreCS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL IFS Area IFJ2 (PreCS)",0,0,0.84724435869474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFG Area 45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64799364322606,0,0
"R FL IFG Area 45",0,0,11.6265413975338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFG Area 44 (Broca's)",0,0,0,0,0,0,0,0,0,0,0,0,0,0.548564052920297,0,0,0,0
"R FL IFG Area 44 (Broca's)",0,0,0.637530408522775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90703218116806,0,0
"R FL IFS Area IFS1",0,0,1.30861504907306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL IFS Area IFS2",0,0,0.0419427900343931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7938021454112,0,0
"R FL IFS Area IFS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL IFS Area IFS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL IFS Area IFS4",0,0,0.0335542320275145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL SFG Area 8d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL SFG Area 8d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL SFG Area 8d2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL SFG Area 8d2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL MFG Area 8v1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL MFG Area 8v1",0,0,0.0754970220619076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL MFG Area 8v2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL MFG Area 8v2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area 33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area 33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area s24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area s24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area 25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area s32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area s32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area p24ab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area p24ab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area p24c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area p24c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL ACC Area p32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL ACC Area p32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL OFC Area Fo1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL OFC Area Fo1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL OFC Area Fo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL OFC Area Fo2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL OFC Area Fo3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL OFC Area Fo3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL OFC Area Fo4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL OFC Area Fo4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL OFC Area Fo5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL OFC Area Fo5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL OFC Area Fo6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL OFC Area Fo6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL OFC Area Fo7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL OFC Area Fo7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL FPole Area Fp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL FPole Area Fp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L FL FPole Area Fp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R FL FPole Area Fp2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL CoS Area CoS1 [mFus-faces, FFA1, FBA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL CoS Area CoS1 [mFus-faces, FFA1, FBA]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L TL FusG Area FG1 [pFus-faces, FFA1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R TL FusG Area FG1 [pFus-faces, FFA1]",0,0,0,0,0,0,0,0,0,0,2.71049596309112,0,0,0,0,0,0,0
